boardType,title,content
버그 제보하기,리소스 다운로드에 실패했습니다.,"게임 이용 중 불편을 겪으셨다면 아래 항목에 맞게 기재하여 제보해 주세요.  즐거운 환경을 제공해드릴 수 있도록 노력하겠습니다.  ※ 빠른 제보와 확인을 위한 게시판으로, 모두 답변을 드리기 어려울 수 있다는 점에 양해를 부탁드립니다.  ※ 결제 번호, 쿠폰 번호 등 개인정보 확인이 필요한 사항은 공식카페에서 공개되지 않도록 유의 부탁드립니다.  ? 1) 발생 시간 / 상황  9/14  13:30 근처 2) 버전 (환경설정 > 정보 > 버전)  ? 3) 사용 중인 기기 환경(기기명, OS 버전)  아이폰6s 4) 서버 명  퓨어바닐라 서버 5) 왕국 이름  190408 6) 상세한 현상(스크린샷을 포함해 주시면 큰 도움이 됩니다)  삭제후 재설치만 20번 넘게 해봤는데도 똑같음 카페나 유튜브에 나와있는 여러 방법 써봐도 무용지물.. 전원을 껐다 키거나 보이스 제외하고 다운로드 하려고 해도 이런상황 반복됨"
[퓨어바닐라] 길드 게시판,노크리 480만,?
자유 게시판,쿠응애 뽑기결과,바요 1성 달았네요ㅎㅎㅎ
[퓨어바닐라] 길드 게시판,?? Lv.39 [머그] 길드에서 함께 쿠킹덤하실 길드원 모십니다!??,자유롭고 열심히하는 길드 [머그]에서 길드원분들 모십니다! ? 조건:왕국레벨 35 ↑ / 전투력 20만 ↑ ? 낮은 조건으로 자유롭게 성장할 수 있으며 친목없이 깔끔하고 담백한 길드입니다. ? ★토벌전은 매일 쳐주세요★ 점수가 낮아도 됩니다! 열심히 치는 길드원분들이 많으니 며칠빠지시더라도 양심적으로 시간될 때 참여해주세요! [현재 5%대 유지중에 있습니다] ? ★3일이상만 미접 하지말아주세요★ 사정이 있으시면 말씀해주세요! 인정머리빼면 시체인 길드입니다. ? 자리 많으니 마음편하게 가입신청 넣어주세요 :)
자유 게시판,이거 설마,스킨 떡밥????
자유 게시판,나 진짜 샤벳 나온 다고 할 떄,당장 진짜 이불킥 존나 해대고 춤추고 노래하고 별사탕 확인하고 울면서 뛰어내리고 싶을 정도로 고흥분했는데 지금 달토끼 팬들도 딱 그 심정이려나 ?
자유 게시판,달토끼도 너무 조와,말랑말랑 맬랑맬랑 맬렁맬렁 드뎌나오다니ㅠㅠㅠ믿고있었다구데브 ?
자유 게시판,무공비급 드디어 9렙,어떻게 이걸 12렙을 찍냐.. ?
공략&팁 게시판,매시즌 마2 마감 in500 칭호 유저 공속덱 공략,"안녕하세요 저는 탄탄길드를 운영하고 있는 탄탄모찌입니다.  처음으로 아레나 공략글을 남겨보려고 합니다.  공속덱에 대해서만 제가 느낀 노하우 알려드리겠습니다.  공속덱 유저인데 무리하게 홀리 샤벳덱으로 넘어가야되나 고민하는 분 읽어주세요. 일단 신뢰도가 가장 중요하겠죠. ? 바닐라 시즌2부터 in500 이라 어느정도 신뢰도는 있다고 생각합니다. 500찍고는 심심할때 아레나 돌리는 편이라 매시즌 마2 마감하고 있구요. ? 저는 3가지 덱을 운영하고 있습니다. 1덱 - 홀리샤벳덱 , 용쿠정전덱(사탕없는)  요즘 추세가 샤벳 바요 퓨바 보여주고 나머지 두 쿠키를 가려놓는데 두 덱 모두 이기기 때문에 고민할 필요없이 들어갈 수있습니다.  공속 보물 적용 - 마들렌 페스츄리 ? 이런 질문 있을껍니다. Q 피감작 완벽한 홀리샤벳은 못 뚫지 않나요?  A 저번 패치까지는 절대 못 뚫었습니다. 하지만 요번 패치 이후는 승률이 급상승했습니다.  요번 연구소 패치인 크리 연구소와 공격력 증가 때문인데요. 치명타 연구 1렙이 10% 증가이니 얼마나 큰 수치 인지 아실껍니다. 낫을 들고 가기때문에 치명타가 엄청 터져서 한방에 충분히 녹일 수 있습니다. 이 덱의 포인트는 상대 스킬 한번은 버틸 수 있는 피감작 중요합니다. 토핑은 아래 올려두도록 하겠습니다. ? 2덱 - 아몬드 있거나 사탕 보물인 용쿠정전덱  아몬드나 사탕까지 있으면 1덱으로 버티지 못하는 경우가 있어서 안전하게 카운터덱으로 들어갑니다.  ? 3덱 - 응? 이 덱 뭐지 이도저도 아니고 애매한 변칙덱일때  무난하게 이깁니다. 이 덱을 방덱으로 설정해놓았는데 무조건 이길수 있는 덱이 아니라 경우의 수가 많아서 공덱으로는 많이 사용하지 않습니다. 공속 보물 적용 - 마들렌 페스츄리 ? 쿠키별 토핑 - 한턴을 버텨야 하므로 피감이 제일 중요  1덱 토핑 - 피감 중요 아무도 안 죽고 한턴만 버티면 상대 녹입니다. 2덱 토핑 - 토벌전 토핑 변화 없이 가져가면 됩니다.  ? 랭킹에 크게 연연하지 않아서 토핑 오픈되어도 상관없기 때문에 전부 오픈합니다.  공속덱 유저분들 샤벳덱으로 넘어가기 버거우시면 요번에 좀 더 탄탄한 공속덱을 만들면서 다음 패치까지 다이아나 과금력 모으며 숨 고르시는 것도 하나의 방법 같습니다.  매번 따라가면 벅차니까요 ㅎㅎ ! 읽어주셔서 감사합니다! 저희 탄탄길드원분들 화이팅입니다! ㅎㅎ"
[퓨어바닐라] 길드 게시판,????1%109위 성인여성길드 에서 1명 모집해요 (29/30)????,??신소녀?? ??50단 이상 노크리 450만??or 무공비8?? ??토벌전 2회 미참 추방 ? 오픈톡 여성 인증 ? 빡겜러&즐겜러 ? 깨어난 용의시즌 초 17%에서 1퍼 100등대까지  꾸준히 성장 해온 장수길드이며 나눠치기 권장길드 입니다. 규칙 널널하지만 170>150>109등 꾸준히 순위 상승하는 길드입니다. 쿠테기로 접는분 외에는 탈퇴하시는분이 없어서 평소에 자리 잘 안나요!  오래 함께 가실분은 오톡 문의 부탁드려요!! ? https://open.kakao.com/o/sA4Yqd1c ?
자유 게시판,무역선 이거 뭔데 반짝거림?,이런 이펙트 첨보는데 걍 버근가?
자유 게시판,일반 12-30 이 덱으로 못깨나요ㅠㅠㅠ,"시간초과로 못깨고 있는데 샤벳,호밀은 안키웠어요..... 팁 좀 주세요"
자유 게시판,블루파이맛 쿠키 팬모여!,블파나와라
질문 게시판,고수님들 11-27 도와주세영,11-27 어떻게 깨요..? 바요 한방에 안녕인데... 블레 닼초 호밀 안 키웠어요 지금 샤벳키우는 중
자유 게시판,원스토어 15% 쿠폰 받아가세요~ LXGFT3HPLE23XL5JX,쿠폰등록에  LXGFT3HPLE23XL5JX 적으시면 15%쿠폰줘요~ ?
자유 게시판,이거슨 어떤 떡밥,저거 원탁 아닌가 인연작 한 번 기대해봄
자유 게시판,길드운영 둘중 뭐가 이득일까?,? 1% 유지 중이고 순위 욕심은 없음 지금 막타처리계정 끼워서 운영중인데 갑자기 드는 생각이 막타처리계정 말고 평타 300정도 나오는 길원을 데려오는게 더 효율적인가 싶어서 ? 뭐가 더 나을거 같음?  ? ? 1. 막타처리계정 1개가 고정적으로 막타 처리 막타처리자 평타 200만 정도 대부분 단계 막타는 막타처리계정으로 정리함 ? 2. 평타 300만 정도되는 일반 계정 막타는 남긴 사람이 알아서 정리 ? ?
자유 게시판,흠 나도 예측 하나 해볼까,할로윈 때는 스킨 나오거나 트러플맛 쿠키 나와서 뱀파이어랑 스토리 나옴 사실 내 희망사항임
자유 게시판,라즈베리 5성이면 고급뽑기 vs 일반뽑기,너네라면 뭐함
[퓨어바닐라] 길드 게시판,??[꽃말] in 50 성인길드/토벌 딜량 480만이상/오랫동안 함께 하실 분??(28/30),"안녕하세요 꽃말길드입니다 길드에 자리가 남아서 추가 인원 모집합니다!  ? ? - 길드소개 - 길드랭킹 상위1퍼(49위) 길드레벨 49  ? - 길드규칙 - 1. 나눠치기 권장! 강요x 2. 길드랜마 선택! 필수x 3. 1일이상 미접 추방! 4. 매일 길드 컨텐츠 필수! (출석, 기부, 토벌전)  ? ? - 가입기준 - 1. 20세이상 성인유저 2. 1일이상 미접시 추방 3. 토벌 딜량 최소 480만이상(노크리, 60단계이상) 4. 단톡참여 필수 (공지, 정보공유, 약간의 사담) ? 가입문의 닉네임 / 나이 / 토벌딜량 / 토벌덱스샷 보내주세요~ 딜량이 약간 부족하시더라도 문의주세요!  ? https://open.kakao.com/o/sjmAq10c"
자유 게시판,샤벳 너프도 좀 웃기긴 하겠다,고뎀 논란 나서 이거 버그라고 하고 상향 시켰는데 근데 또 버그라고 하고 다시 원상태로 돌리면ㅋㅋㅋㅋㅋㅋ 이게뭐앜ㅋㅋㅋㅋㅋ 차라리 카운터 쿠키를 내지 너프는 안 할 듯 ?
[퓨어바닐라] 서버 게시판,[쿸킹덤 TOP 2] 함께 즐겁게 하실 토벌에 진심이신 분 모셔욤~~! ! ????,? ? ??길드명 : 쿸킹덤  ? ?  ? ??길드 레벨 : 50레벨  ? ?  ? ???길드 순위 : 1% (시즌마감 2위)  ? ?  ? ???가입 조건 : 토벌 최소딜 580 (40용 이상 노치명 기준)  ? ?  ? ☞토벌 나눠 칠 수 있는 분  ? ?  ? ☞오픈채팅 참여 가능한 성인 ? ? ??위의 기준에 못 미쳐도 딜 올릴 열정있으신분?? ?  ? ?  ? 즐겁고 편안한 분위기가 장점인 ??쿸킹덤??에서 길드원을 모집합니다 큰 부담감 없이 화목하게 함께 할 길드원 모집해요  ? ?  ? ?길드 생성 이후로 꾸준한 순위 상승 및 유지를 하고있어요!!??  ? ?  ? ?다음 시즌이 기다려지는 성장하는 길드!??  ? ?  ? ?오픈채팅은 필수입니다 용 마무리와 중복토벌 방지를 위함이니 꼭 들어와주세요  ? ?  ? 빡세게 관리 하지는 않구 서로 정보도 나누고 토벌 의논도 하는 곳이니 편하게 들어오세요 ????  ? ?  ? ??밑에 옵챗으로 편하게 문의주세요~!  ? ?  ? ?  ? ?https://open.kakao.com/o/s29zinWb
자유 게시판,내 계정은 석류가 진짜 안 나옴,석류 완제로 본 적이 없음... 완제로 본 적도 없어서 마일리지 / 나온 영혼석들만 가지고 1성 만듦... 퓨바 바요 홀베 다 완제로 봣는데 왜... 너만 완제로 못 봣니...
질문 게시판,15성찍은사람 분수도 15렙 맞춤?,아니무슨 오로라를 100개나 처먹냐? 안하는게 맞지?
[퓨어바닐라] 길드 게시판,???? 현 8위 토벌에 진심인 ??Florence?? 에서 길드원 모집합니다 ????,"길드레벨 : 50 ? ? ? 깨 어 난 용 시즌 1~3 : 25위 / 28위 / 25위 ? 포효하는 용 시즌 1~4 : 22위 / 23위 / 21위 / 20위 ? 분노하는 용 시즌 1~4 : 19위 / 15위 / 16위 / 20위  ? 난폭한 용의 시즌 1~4 : 34위 / 34위 / 25위 / 27위 ? ? 흉포한 용의 시즌 1-1 1~4 : 27위 / 25위 / 26위 / 28위  ? 흉포한 용의 시즌 1-2 1~4 : 28위 / 31위 / 30위 / 33위  ? 흉포한 용의 시즌 1-3 1~4 : 20위(66용클) / 16위(67용클) /          12위(68용클) /  17위(67용클)-재정비기간 ? 흉포한 용의 시즌 4-1 : 8위?????????????? ? ? ? ? ? ?? 친구같은 분위기 Florence 길드에서 길드원 모집합니다 ?? ?    정산 후 오실 분 찾아요♡   ?  첫날 토벌 3회 필수 ♡ ?    샤크덱 2타 안정적 필수 / 오픈톡 활발하신 분 중요사항 ♡    토벌에 미친자 환영 합니다 ♡     71단계 함께 잡으실 용자님 모셔요♥     ? ? ? ? ? ? ? ? ? ? 오픈톡방 / 공지방 운영중이며, ? 토벌에 진심인 분 환영합니다.♡ ? ? ? ? ? 위 조건 충족되시는 분은 ? 아래 톡방 오셔서 쿠키현황/ 보물현황 ? 50단계 이상 토벌 세부딜량 노치 / 1치 스샷 /  ? 토벌진행영상 / 토핑현황/ 연구소현황  보내주시면됩니다. ? ? ? 많은 지원 부탁드립니다 !  ? ? ? ? ? [가입문의 오픈톡] ? 문의1)  https://open.kakao.com/me/hope1 ? ? ? 문의2) 문의1 부재시 이쪽으로 연락주세요. https://open.kakao.com/o/sYfPNytd ? ? ? ? ? ? 800만딜 달성??????"
자유 게시판,나만 아레나에서 이런 점 느낌?,1. 공속보물 상대가 공속보물을 사용했을 때 나도 공속보물 적용받는 것처럼 느껴진다. 나도 처음에는 공속보물은 공용인가 생각했지만 궁금해짐 ? 2.용쿠덱 상대와 나 둘 다 용쿠덱일 때 내 쪽 정전만 상대 블레와 바요 기절시키고 상대 정전은 내 바요만 기절시키지못함 그래서 전투력에 상관없이 내가 거의90퍼는 승리함 위 조건으로 ? 버근가(어그로아님)
[퓨어바닐라] 길드 게시판,????1%109위 성인여성길드 에서 1명 모집해요 (29/30)????,??신소녀?? ??50단 이상 노크리 450만??or 무공비8?? ??토벌전 2회 미참 추방 ? 오픈톡 여성 인증 ? 빡겜러&즐겜러 ? 깨어난 용의시즌 초 17%에서 1퍼 100등대까지  꾸준히 성장 해온 장수길드이며 나눠치기 권장길드 입니다. 규칙 널널하지만 170>150>109등 꾸준히 순위 상승하는 길드입니다. 쿠테기로 접는분 외에는 탈퇴하시는분이 없어서 평소에 자리 잘 안나요!  오래 함께 가실분은 오톡 문의 부탁드려요!! ? https://open.kakao.com/o/sA4Yqd1c ?
질문 게시판,라즈베리 키워두는게 좋은가요?,이벤트보니까 몇성이랑 몇렙까지 키우면 각각 리워드 주던데 60렙까지 키워두는게 좋나요?!
자유 게시판,나름 대규모 업뎃 같은데,크리스탈 기대해도 되는 거겟지
자유 게시판,오늘 cm노트 올라올려나...?,왜냐면 내일은 업뎃한지 2주일째되는날이거든 데브 업뎃주기가...2-3주인걸 감안하면 오늘 cm노트 올라오지 않을까
자유 게시판,프사 바꿀까?,이걸루
[퓨어바닐라] 길드 게시판,"\유녀\"" 1% 토벌전300만이상 길드원 모집 ?오픈톡 x? 나이제한 x?디코 x? [2일미접"," 미참 강퇴]"""
자유 게시판,모험 1티어 덱이 뭔가요??,다 아레나 밖이 없는거 같은대...ㅜㅜ
[퓨어바닐라] 길드 게시판,??19위 마감 in30 얼그레이 성인여성길드 신규길원 모집합니다??,안녕하세요???♀?이번 시즌 19위로 마감한 49레벨(곧 50) 얼그레이 성인여성길드입니다. ? 165->158->144->97->86->75->67->55->38->33->31->19위로 3개월동안 비약적으로 성장하고 있습니다. ? 오픈채팅방으로 공지방을 운영하지만 사담과 친목은 없는 조용한 길드이고 최근 토벌방을 만들어 토벌에 관한 정보를 활발히 공유중입니다. 이 방은 필수 아닌 자유 참여로 원하시면 들어오셔도 좋고 안들어오셔도 좋습니다. 이 방도 역시 사담 없이 토벌팁만 공유하고 있습니다! ? 가입 전 조건 ? 1.성인여성 2.토벌딜 노치명 500만 이상(길원 평균 550/무공비10이상) 3.독샤뱀  4.길드 랜드마크 보유 혹은 이번 정산 후 구매가능하신 분 5.뱀파 만렙 ? 가입 후 조건 ? 1. 하루 3회 나눠치기 필수 2. 오후 1시 전 무조건 1회이상 참여 3. 오후 11시30분까지 3회 마무리 ? 이렇게 세가지 규칙만 지켜주시면 됩니다. ? ?가입 원하시는 분은 편하게 연락주세요?? ? https://open.kakao.com/o/sosT8mkd ?
자유 게시판,킹덤에 스킨 나오면,개이쁘겟지? 내가 계속 뽑기 돌려야겟다 ㅎㅎ
자유 게시판,아니 15성 레벨 90일걸려??????,그러면 땅은?ㅠㅠ 곧 15성 올려야하는데
질문 게시판,리세 하라해서 했는데 이제 해도될까요?!,요렇게 에픽 4개 있어여! 시작해도 될까요?!
자유 게시판,홀리베리 토핑,? 아레나 들어가봅니다 ..
자유 게시판,ㅋㅋㅋㅋ 쿠키들만 본다고 머가리 깨졌다고 소리 들었네,짜증나네 ?? 쿠키들만 보면 뭐 어때서?? 그걸로 머가리 깨졌다고 봉합 하라고 이딴 소리 들어야 해?ㅋㅋㅋㅋㅋ 과금도 많이는 아니지만 30만원 조금 넘게 했고 ..어이가 없네 ..ㅋㅋㅋㅋㅋㅋ
자유 게시판,킹덤아레나는 자해가 맞다........,티켓 리필해서 달려도 겨우 원상복구거나 오히려 더 내려가는 게 밑 빠진 독에 물 붓는 것 같음
[퓨어바닐라] 길드 게시판,????1%109위 성인여성길드 에서 1명 모집해요 (29/30)????,??신소녀?? ??50단 이상 노크리 450만??or 무공비8?? ??토벌전 2회 미참 추방 ? 오픈톡 여성 인증 ? 빡겜러&즐겜러 ? 깨어난 용의시즌 초 17%에서 1퍼 100등대까지  꾸준히 성장 해온 장수길드이며 나눠치기 권장길드 입니다. 규칙 널널하지만 170>150>109등 꾸준히 순위 상승하는 길드입니다. 쿠테기로 접는분 외에는 탈퇴하시는분이 없어서 평소에 자리 잘 안나요!  오래 함께 가실분은 오톡 문의 부탁드려요!! ? https://open.kakao.com/o/sA4Yqd1c ?
자유 게시판,오늘따라 샤벳 면상을 갈아버기고 싶네요,^^|발 진짜 토핑 맞추기가 어렵지도 않은데 1분 지나면 내 탱커 녹고있고 탱커 녹으면 바요는 실피 남기고 버티다가 딸크한테 맞아뒤지고 진짜 샤벳 너프 좀
질문 게시판,아레나 질문입니다!,샤바퓨 이렇게 되있으면 보통 용이랑 정이 들어가는건가요ㅠㅠ 상위권올라가몀서 다 저렇네요...쥬륵
자유 게시판,킹덤아레나,상대 쿠키들이 반대로 보이는데 저만그런가요?ㅋㅋ 뱀파가 좀 웃기네요 ㅋㅋ 버그 수정해주시기 바랍니다 ㅋㅋ
자유 게시판,사람들 쿠킹덤 많이 접었나보다,캎 보는데 상위권 길드들이 조건이 없음.. 걍 토벌 3회만 잘해달래  길원들 접어서 순위 떨어졌다고 갠 생각이긴한데 옛날보다 규율은 좀 약해진듯
자유 게시판,다들 하루에 코인 얼마범?,소원나무 45회  딱 채우고 연구랑 쿠하올리기 등 하기에는 부족하지않음?  하루에 코인 100만원 벌고 거의 다 쓰는거 같은데 다들 비슷한가요?
자유 게시판,샤벳 말소리 오rrrrrrrrrr로 하는 거 나만 귀여우면서 웃긴가?,이게 그 물거품 소리에 가려진 말소리라잖아.... ?
자유 게시판,원스토어 15% 할인쿠폰이에유~,H6XJE6CDU7XVB5CGX
자유 게시판,자고일어나면 공격 20개씩와있어서,복수만 조졌는데도 이까지왔음.. 개웃김
[퓨어바닐라] 길드 게시판,??[꽃말] in 50 성인길드/토벌 딜량 480만이상/오랫동안 함께 하실 분??(28/30),"안녕하세요 꽃말길드입니다 길드에 자리가 남아서 추가 인원 모집합니다!  ? ? - 길드소개 - 길드랭킹 상위1퍼(49위) 길드레벨 49  ? - 길드규칙 - 1. 나눠치기 권장! 강요x 2. 길드랜마 선택! 필수x 3. 1일이상 미접 추방! 4. 매일 길드 컨텐츠 필수! (출석, 기부, 토벌전)  ? ? - 가입기준 - 1. 20세이상 성인유저 2. 1일이상 미접시 추방 3. 토벌 딜량 최소 480만이상(노크리, 60단계이상) 4. 단톡참여 필수 (공지, 정보공유, 약간의 사담) ? 가입문의 닉네임 / 나이 / 토벌딜량 / 토벌덱스샷 보내주세요~ 딜량이 약간 부족하시더라도 문의주세요!  ? https://open.kakao.com/o/sjmAq10c"
?? 팬아트 게시판,뭐가 제일 나아요?,
자유 게시판,[질문하고 실시간 피드백 받으셈],"주의사항 및 링크]- #친목금지#정보공유#쿠킹덤수다#질문가능(쿠킹덤관련) #대리왕꾸 받아요(신청은 갠톡으로) #들어온후 5분간 말없을시 강퇴입니다 #쿠킹덤에 진심이신분만 와주세요~ #편하게 대화하시면 됩니다(질문은 언제나 환영) ? 많은 쿠린이분들이 저희방에서 정보랑 팁 얻어서 성장하신분 많습니다 ㅎㅎ 대부분 고인물이 되었구요. 아레나도 랭커분들이 토핑공유해주셔서 다들 마찍은 하시고 계십니다 :) ? [킹덤 커뮤니티 센터] https://open.kakao.com/o/gwe04Ynd 대리왕꾸문의는 방장 갠톡으로 보내주세요 :) 질문이 묻힌경우 방장 갠톡으로 넣어주세요(길드홍보포함)  *방소개-(궁금하신분은 참고 b) -방규모가 큰만큼 철저히 관리하고 있습니다 :)- ? 1.자료(계속해서 추가중)-원하시는자료 말하시면 구해용 아레나덱(종류,토핑),어둠-10-31공략,뉴비가이드,협력전관련자료,꾸미기팁,토벌전공략집,재고관리팁(왕국운영),조개갤러리 효율표, 쿠키하우스 효율표,생산테크,혼케타열쇠갯수,쿨타임정리표,쿠키배치순서,쿠키등급표,쿠키별토핑추천,실시간 마스터컷점수,다양한 뉴비에게 필요한 자료등등 있습니다. (매주 새로운 정보 등록중) ? 2.유형(어떤분이 있으실까?) 주의:아레나,대무역 랭커들,왕꾸장인,캎창들 유명 업데이트하는날이 질문아닌 대부분 잡담은 길토나 아레나 이야기라서 길토나 아레나 좋아하는사람 와주시면 좋겠습니다. 업데이트날 여기보다 재밌을 순 없다 길토아레나말고 왕꾸하시는분,길드 구하시거나 길드 홍보하시는분도 오십니다! 심지어 성우지망생이신분도 있습니다 ? 3.뉴비를 위한 질문(질문은 언제나 자유롭게! 자료뿐만 아니라 질문을 하시면 [상위 랭커분들이] 답변을 해드리고 있습니다. 새로운 쿠키가 나올때마다 랭커분들이 연구를 공유해주고 있습니다. {*계속 정보를 업데이트}*하고 있으니 [오래 같이 있으실분 와주세요.] 감사합니다.혹시 질문이 밀려서 답변을 받기 힘든경우 방장 갠톡 넣어주세요 ? 4.개인적으로 새로운 쿠키나오거나 새로운 연구, 컨텐츠, 업데이트, 사과보상등 채팅으로 이야기하니 재밌습니다! 아레나 랭커분들 덱보고 많이 배웁니다. 대부분 들어오는데 고민을 하였지만 막상 들어오고 많은걸 배운다는 후기도 많았습니다. 친구구하러 오시는분도 많습니다 ? ?5공카에사 이벤트나 보상이 있으면 실시간으로 전달하고, 대규모점검이 있으면 공지로 등록하여 확인하기 편하게 제공하고 있습니다. 또 다른 하나의 쿠키런 킹덤 카페입니다 ? ? ? ?"
자유 게시판,원스토어 15% 쿠폰,5TEVX6RX2D7XYD7KP ? 입력하시고 15%쿠폰 같이 받아요??
자유 게시판,추석 이벤트 예상 ㄹㅇㅋㅋ,"1. 스테미너젤리 n소모시 (달토끼 이벤트 뽑기 재화 :n개) 2. 현상금 n회 클리어 (달토끼 이벤트 뽑기 재화 :n개) 3. 아레나 ~~(달토끼 이벤트 뽑기 재화 :n개) . . . 10. 케이크 타워 열쇠 소모시(달토끼 이벤트 뽑기 재화 :n개) ? ? 특별 이벤트! 달토끼쿠키 성장이벤트!! N성시 ! 보상 : n레벨 별사탕 100개, 크리스탈 3000개!, 아레나 티켓 50장! ? 온타임 보상 이벤트! 매일 9시 접속시(달토끼 이벤트 뽑기 재화 :n개) ? 추석 특별 이벤트 추석 9시접속시 (달토끼 이벤트 뽑기 재화 :n개) ? 이런거겠지"
[퓨어바닐라] 친구 찾기,yoon330 선물 교환하실분,yoon330 선물 교환하실분 구해요
[퓨어바닐라] 길드 게시판,"??상위1%, 쿠키다방에서 길드원을 모집합니다??",? ?? 상위 1% 쿠키다방에서 길드원을 모집합니다! ?? 안녕하세요~ 상위 1% Lv. 46 쿠키다방입니다!~ 처음 길드전이 생겼을때 부터 있었으며 꾸준히 성장해가는 길드입니다! 길드 찾으시나요? 저희 쿠키다방은 어떠신가요??? 저희 길드에 혹시 생각이 있으시다면 여기로 와주셔서 문의주시면 됩니다+!! https://open.kakao.com/o/gjGtnx7c ? ? ?
[퓨어바닐라] 길드 게시판,??Lv.48 상위 1% ??머랭쿸키??에서 길원 모집합니다??,"??<머랭쿸키> 길드원 모집합니다?? ??토벌에 진심이고 사이좋은 머랭단원들이 되고싶은 여러분! 머랭의 문이 열렸습니다.??? <모집부문 : 평길드원> ?? 성인길드(20세~) ?? 오픈채팅 필참, 활발한 교류 하실 분 ?? 토벌전 딜량 및 기여도 스샷 필수 지참 ?? 토벌 기여도 400만 이상 ?? 토벌 딜량 400만 대~ ?? 1일 1회 이상 필수 접속 ?? 꾸준히 함께 할 머랭 ? ? 민감한 주제에 대한 분노 조장 ? 싸움 및 비방 ? 욕설 엄금 > 바로 제재 들어갑니다. ? ??머랭쿸키월드 길드원 심사?? https://open.kakao.com/o/gYXC4Czd > 성인 인증 및 쿠키 인증 부탁드립니다."
자유 게시판,내 보뽑 운 어떰,
[퓨어바닐라] 길드 게시판,피아제 길드 길드원 모집,길드를 리빌딩해서 옾챗도 만들고 제대로 굴려 볼려합니다.  ? 자격조건 ? -2일 미접 추방 ? -기여도 150만 컷 ? -나눠치기 상관은 없습니다 ? -딜량 300만이상 나오시는 분?? 좀 부족 해도 괜찮습니다~ ? ?-철새 ? 끈덕지게 하실 분  ? https://open.kakao.com/o/s1XU2Qgd 닉네임으로 들어와서 토벌덱 사진 보내주시면 감사하겠습니다.
자유 게시판,결국 얻음,정가
자유 게시판,비주류 쿠키들 상향 좀 해줘,게임 나오고 한번도 랭커들이 공덱에도 안 쓴 쿠키가 한트럭인데 신캐만 줄창 내지 말고 있는 쿠키한테나 잘 해 메타 다양성을 핑계대면서 밸런스로 말 많은 몇몇 쿠키 너프하지 말라고 하는 건 다른 비주류 에픽들에게 실례임. ? 벨벳 쿨타임도 하는 김에 좀 줄여주고. 한다고 해서 1티어 갈 거 같지도 않지만 적어도 연구는 좀 하게 아오
자유 게시판,나 심각한 샤벳 중독증인 듯,이제 샤벳 없인 못 살아... 그리고 샤벳이랑 아애 일체화가 됨 샤벳이 욕 먹음 나도 슬퍼지고 화나고 샤벳이 칭찬받음 나도 으쓱해지고 맨날 샤벳 목소리 하루에 한 번씩 듣고 샤벳 팬아트  서치 하루에 몇백 번씩 하고 소다제도 그리고 얼파탑 시리즈 애 나온 스토리 맨날 정주행 하고....ost도 맨날 듣고 하지만 나를 이렇게 만든 건 샤벳임 너무 커여워 책임져야 함 ?
자유 게시판,안녕하세요 친구추가 부탁드려요,이번에 새로 시작했습니다! 지금 레벨은 11이에요. 많은 친추 부탁드립니다!
