boardType,title,content
[퓨어바닐라] 길드 게시판,???? 전시즌 17위 (현시즌엔 떡상중♥ 랭킹판에서 확인가능) 토벌에 진심인 ??Florence?? 에서 길드원 모집합니다 ????,"길드레벨 : 50 ? ? ? 깨 어 난 용 시즌 1~3 : 25위 / 28위 / 25위 ? 포효하는 용 시즌 1~4 : 22위 / 23위 / 21위 / 20위 ? 분노하는 용 시즌 1~4 : 19위 / 15위 / 16위 / 20위  ? 난폭한 용의 시즌 1~4 : 34위 / 34위 / 25위 / 27위 ? ? 흉포한 용의 시즌 1-1 1~4 : 27위 / 25위 / 26위 / 28위  ? 흉포한 용의 시즌 1-2 1~4 : 28위 / 31위 / 30위 / 33위  ? 흉포한 용의 시즌 1-3 1~4 : 20위(66용클) / 16위(67용클) /          12위(68용클) /  17위(67용클)-재정비기간 ? ? ? ? ? ?? 친구같은 분위기 Florence 길드에서 길드원 모집합니다 ?? ?    시즌 후 오실 분 찾아요♡   ?  첫날 토벌 3회 필수 ♡ ?    샤크덱 2타 안정적 필수 / 오픈톡 활발하신 분 중요사항 ♡    토벌에 미친자 환영 합니다 ♡     지붕뚫고 인 10 함께 가시죠 !!!      ? ? ? ? ? ? ? ? ? ? 오픈톡방 / 공지방 운영중이며, ? 토벌에 진심인 분 환영합니다.♡ ? ? ? ? ? 위 조건 충족되시는 분은 ? 아래 톡방 오셔서 쿠키현황/ 보물현황 ? 50단계 이상 토벌 세부딜량 노치 / 1치 스샷 /  ? 토벌진행영상 / 토핑현황  보내주시면됩니다. ? ? ? 많은 지원 부탁드립니다 !  ? ? ? ? ? [가입문의 오픈톡] ? 문의1)  https://open.kakao.com/me/hope1 ? ? ? 문의2) 문의1 부재시 이쪽으로 연락주세요. https://open.kakao.com/o/sYfPNytd ? ? ? ? ? ? 800만딜 달성??????"
질문 게시판,홀베 4일차 뉴비 챕터 8에서 막히네요,사용하는 쿠키는 딸크 닼초 블레 샤벳 허브로 갑니다  ? 힐이 딸린다 싶으면 레어 당근이나 석류 데리고 가구요 ? 질문 1) 자꾸 폭탄 맞고 딸크가 못버티고 죽어요...ㅠㅠ 렙업이나 토핑작을 해야할까요? ? 2) 별사탕은 누구부터 줘야할까요? ? 3)소다제도까지 고려해서 딜러 힐러 탱커중에 누구를 우선적으로 키워야할까요? 뱀파는 7일차 보상으로 얻으면 키울 예정입니다 ? 뉴비 구해주세요!!
자유 게시판,데브주식금 이익보고 뺌 ㅎㅎㅎ,아 이걸 왜 저번주에 팔았을까  ? 이번주까지만 볼 걸 ㅜ
질문 게시판,딸샤바감퓨 vs 딸샤바블퓨,아레나덱 뭐가 더 낫나요??
자유 게시판,지름신이 미쳐 날뛰고 있습니다!,"? ? 쿠키성 렙을 업글하면서 새로 건설되는 시설들에 대한 수요가  급속히 늘어났습니다. ? 그때문에 기존 쿠키들로는 도저히 생산수요를 감당할 수가 없어서 오랜만에 뽑기를 한번 했죠. ? ? 그런데.... 오늘 진짜 지름신이 미쳐 날뛰고 있나봅니다. ? ? ? ? ? ? ? ? ? 파르페맛 쿠키에 이어 10회 뽑기 2번이라는 이른 타이밍에 라즈베리맛 쿠키를 얻었습니다! ? ? ......... 저도 사실 처음엔 이걸로 끝인줄 알았는데, 사실 이건 그냥 애교수준이더라구요. ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 같은 뽑기에서 라즈베리가 또 나오면서 10회 뽑기 1번에 라즈베리가 2연속으로 나왔습니닼ㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ? ? ? 난생 처음보는 말도 안되는 광경에 오늘 진짜 지름신이 미친거 아닌가 싶어서, ? ? ? ? ? ? ? ? ? ? ? 9900원짜리 에픽 확정 패키지까지 결제했습니다. ? ? ? ? ? ? ? ? ? ? ? ? ? ? 그랬더니 3연속 라즈베맄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ? 뽑기가 끝나고 나서 진짜 얼마나 터졌는지 모르겠네욬ㅋㅋㅋㅋㅋㅋ ? ? 다시 생각해도  이게 진짜 일어날 수 있는 일인지 모르겠습니닼ㅋㅋㅋㅋㅋ ? ? ? ? ? ? (+) 라즈베리맛 쿠키 뽑기에서 나온 미친 결과덕에 홀리베리 쿠키 뽑기에 사용되는 영혼의 빛이 2000개 넘게 모여서 ? 이 기세를 모아 홀리베리도 한번 뽑아보기로 했습니다. ? ? ? ? ? ? ? ? .......... 지름신은 홀리베리를 그닥 좋아하지 않는 모양이네요. ? ? ? ? ? ? ? ? ? 특히 넌 좀 그만 나와!!! ? ? ? ?"
자유 게시판,쿠킹덤 목소리 출연 원하시는 성우 있으신가요,ㅈㄱㄴ
자유 게시판,민초 vs 파르페 (투표 한번씩 부탁드려요),"딸크 샤벳 바요 (민초) 퓨바 (파르페) ? 지금 마3, in500까지 찍먹하고 다이아에서 노는 중 ? **파르페 1성이라 체력이 낮아서  딸크 보호막을 바요 파르페가 받음** 그래도 위치적 우위가 너무 좋다고 생각해서 글 올려요 ?"
자유 게시판,상대보다 먼저 죽어서 못깨다니,다죽인건데 누구 하나만 버텼어도 ? ? ? ? 근데 진짜 30이 쉬운거였어?
자유 게시판,쿠키런킹덤 트위터 공식계정 터짐?,왜안들어가지나용
자유 게시판,중국인이랑 맞짱뜨면 한국인이짐,인구 수 때문에 한국인이 20:1로 이겨야 이길수 있음
